       5 9508376.990000 9502505.917394 9514248.062606
      10 19415008.233333 19402787.563210 19427228.903457
      15 28873364.270000 28854016.739712 28892711.800288
      20 38499121.809524 38463520.655988 38534722.963060
      25 47774777.007843 47733943.882498 47815610.133188
      30 53195794.499618 53181199.907837 53210389.091399
      35 52115592.023333 52082349.133562 52148834.913105
      40 52190859.570000 52159080.133403 52222639.006597
      45 52890673.110000 52860975.168282 52920371.051718
      50 53190938.776667 53156178.498755 53225699.054579
