       0 0.000000        0        0
0.158017 23329283110.571079        0        0
0.211989 23329283110.571079        1        0
0.212171 23329283110.571079        1        0
0.212599 23329283110.571079        2        2
0.212754 23329283110.571079        2        2
0.227475 23329283110.571079        2        2
0.235376 23329283110.571079        2        2
0.250957 23329283110.571079        2        2
0.251049 23329283110.571079        2        2
0.264606 23329283110.571079        3        3
0.264799 23329283110.571079        3        3
0.265242 23329283110.571079        3        3
0.274536 23329283110.571079        3        3
0.333402 23329283110.571079        3        3
0.346007 23329283110.571079        4        4
0.346188 23329283110.571079        4        4
0.346695 23329283110.571079        4        4
0.350037 23329283110.571079        4        4
0.350442 23329283110.571079        4        4
0.354630 23329283110.571079        4        4
