       5 11840399.636667 11833609.268408 11847190.004926
      10 23525720.056667 23510395.551063 23541044.562270
      15 34899690.226667 34877598.179163 34921782.274171
      20 46423365.594433 46400270.095119 46446461.093748
      25 49568471.595609 49554661.526989 49582281.664230
      30 49492882.922208 49480509.736536 49505256.107880
      35 49364301.014375 49352701.863596 49375900.165154
      40 49425400.932358 49412247.974926 49438553.889790
      45 49451327.036401 49441653.803009 49461000.269794
      50 49421889.168806 49407864.953468 49435913.384144
