       5 7449812.043333 7445476.087291 7454147.999376
      10 14318032.780000 14309259.377431 14326806.182569
      15 16632745.370000 16623345.355942 16642145.384058
      20 16616400.130000 16606326.220996 16626474.039004
      25 16624243.276667 16614600.900235 16633885.653098
      30 16601537.733333 16592639.330470 16610436.136196
      35 16596956.270000 16583603.412769 16610309.127231
      40 16618271.540000 16598725.731454 16637817.348546
      45 16630568.076667 16616378.321356 16644757.831978
      50 16632367.533333 16623368.311653 16641366.755014
