       0 0.000000        0        0
0.447876 9173961240.013762        0        0
0.587348 9173961240.013762        1        1
0.587801 9173961240.013762        2        2
0.587959 9173961240.013762        3        3
0.589239 9173961240.013762        4        4
0.589404 9173961240.013762        4        4
1.048970 9173961240.013762        4        4
1.062050 9173961240.013762        4        4
4.251790 9173961240.013762        4        4
5.116790 9173961240.013762        4        4
6.170930 9173961240.013762        4        4
6.328610 9173961240.013762        4        4
6.989140 9173961240.013762        4        4
7.215920 9173961240.013762        4        4
7.446100 9173961240.013762        4        4
7.673370 9173961240.013762        4        4
9.813130 9173961240.013762        4        4
9.967960 9173961240.013762        4        4
10.569700 9173961240.013762        4        4
10.570400 9173961240.013762        4        4
10.954000 9173961240.013762        4        4
11.181200 9173961240.013762        4        4
15.073100 9173961240.013762        4        4
15.541000 9173961240.013762        4        4
15.542100 9173961240.013762        4        4
15.542700 9173961240.013762        4        4
15.543200 9173961240.013762        4        4
15.544300 9173961240.013762        4        4
15.550500 9173961240.013762        4        4
