       0 0.000000        0        0
0.259690 14907642496.098391        0        0
0.350498 14907642496.098391        1        1
0.351710 14907642496.098391        2        2
0.351857 14907642496.098391        3        3
0.352013 14907642496.098391        4        4
0.352185 14907642496.098391        4        4
0.513936 14907642496.098391        4        4
0.514023 14907642496.098391        4        4
0.514958 14907642496.098391        4        4
0.515405 14907642496.098391        4        4
0.520721 14907642496.098391        4        4
0.521165 14907642496.098391        4        4
0.526442 14907642496.098391        4        4
0.531462 14907642496.098391        4        4
0.533074 14907642496.098391        4        4
0.540116 14907642496.098391        4        4
0.541833 14907642496.098391        4        4
