       0 0.000000        0        0
0.721196 22829964328.180737        0        0
0.817253 22829964328.180737        1        1
0.817457 22829964328.180737        2        2
0.817656 22829964328.180737        2        2
0.817774 22829964328.180737        2        2
0.817889 22829964328.180737        3        3
0.818130 22829964328.180737        4        4
0.819831 22829964328.180737        4        4
0.857435 22829964328.180737        5        5
0.857626 22829964328.180737        5        5
0.857705 22829964328.180737        6        6
0.857839 22829964328.180737        6        6
0.857976 22829964328.180737        7        7
0.858152 22829964328.180737        8        8
0.858396 22829964328.180737        8        8
0.858516 22829964328.180737        8        8
0.858588 22829964328.180737        8        8
0.858695 22829964328.180737        8        8
0.860229 22829964328.180737        8        8
0.878693 22829964328.180737        9        9
0.878895 22829964328.180737        9        9
0.878978 22829964328.180737        9        9
0.879094 22829964328.180737       10       10
0.879224 22829964328.180737       10       10
0.879341 22829964328.180737       11       11
0.879469 22829964328.180737       11       11
0.879559 22829964328.180737       12       12
0.879681 22829964328.180737       12       12
0.879819 22829964328.180737       12       12
0.879914 22829964328.180737       12       12
0.880092 22829964328.180737       12       12
0.885964 22829964328.180737       12       12
0.886035 22829964328.180737       12       12
0.887435 22829964328.180737       13       13
0.888993 22829964328.180737       13       13
0.904352 22829964328.180737       14       14
0.904580 22829964328.180737       14       14
0.904936 22829964328.180737       15       15
0.905159 22829964328.180737       16       16
0.905354 22829964328.180737       16       16
0.905543 22829964328.180737       17       17
0.905828 22829964328.180737       18       18
0.906090 22829964328.180737       18       18
0.906278 22829964328.180737       18       18
0.906442 22829964328.180737       19       19
0.906639 22829964328.180737       19       19
0.911078 22829964328.180737       20       20
0.911242 22829964328.180737       20       20
0.914003 22829964328.180737       21       21
0.914154 22829964328.180737       22       22
0.914282 22829964328.180737       23       23
0.914390 22829964328.180737       23       23
