       0 0.000000        0        0
0.545030 32107023411.371239        0        0
0.677144 32160804020.100506        0        0
0.677239 32487309644.670052        0        0
0.677349 32542372881.355930        0        0
0.677443 32597623089.983021        0        0
0.677674 32653061224.489796        0        0
0.677795 32933104631.217838        0        0
0.700317 32989690721.649487        0        0
0.700406 33046471600.688469        0        0
0.722578 33103448275.862076        0        0
0.722851 33449477351.916378        0        0
0.723097 33566433566.433567        0        0
0.723197 33625218914.185638        0        0
0.723280 33743409490.333920        0        0
0.733648 33802816901.408451        0        0
0.772799 33982300884.955753        0        0
0.772899 34163701067.615658        0        0
0.799690 34224598930.481285        0        0
0.800526 34285714285.714279        0        0
0.800752 34325259515.570934        0        0
0.800922 34657039711.191338        0        0
0.817313 34719710669.077759        0        0
0.817898 34782608695.652176        0        0
0.910156 34807017543.859650        0        0
0.910486 34845735027.223228        0        0
0.916807 34868189806.678383        0        0
0.917195 35100548446.069466        0        0
0.917369 35164835164.835167        1        1
0.917684 35164835164.835167        1        1
0.937159 35164835164.835167        1        1
0.937297 35164835164.835167        1        1
0.937482 35164835164.835167        1        1
0.937831 35164835164.835167        1        1
0.937909 35164835164.835167        1        1
0.940258 35164835164.835167        2        2
0.940447 35164835164.835167        2        2
0.940522 35164835164.835167        2        2
0.947188 35164835164.835167        3        3
0.949232 35164835164.835167        3        3
0.995166 35164835164.835167        3        3
0.995344 35164835164.835167        3        3
0.995435 35164835164.835167        3        3
1.014040 35164835164.835167        3        3
1.023900 35164835164.835167        3        3
1.024070 35164835164.835167        4        4
1.024530 35164835164.835167        4        4
1.024690 35164835164.835167        4        4
1.033660 35164835164.835167        4        4
1.039220 35164835164.835167        5        5
1.039550 35164835164.835167        5        5
1.039680 35164835164.835167        5        5
1.040050 35164835164.835167        5        5
1.040260 35164835164.835167        5        5
1.046240 35164835164.835167        5        5
1.053210 35164835164.835167        5        5
1.059820 35164835164.835167        5        5
1.062200 35164835164.835167        5        5
1.062520 35164835164.835167        5        5
1.071040 35164835164.835167        6        6
1.079450 35164835164.835167        6        6
1.079740 35164835164.835167        6        6
1.079860 35164835164.835167        6        6
1.081660 35164835164.835167        6        6
1.082770 35164835164.835167        6        6
1.084740 35164835164.835167        6        6
1.093500 35164835164.835167        6        6
1.102290 35164835164.835167        7        7
1.102800 35164835164.835167        7        7
1.103880 35164835164.835167        7        7
1.106380 35164835164.835167        7        7
1.111190 35164835164.835167        7        7
1.113990 35164835164.835167        7        7
1.236970 35164835164.835167        7        7
1.242480 35164835164.835167        7        7
1.242820 35164835164.835167        7        7
1.243510 35164835164.835167        7        7
1.243660 35164835164.835167        7        7
1.243810 35164835164.835167        7        7
1.244320 35164835164.835167        7        7
1.244520 35164835164.835167        7        7
1.256630 35164835164.835167        7        7
1.259160 35164835164.835167        7        7
1.259460 35164835164.835167        7        7
1.259770 35164835164.835167        7        7
1.268130 35164835164.835167        8        8
1.268440 35164835164.835167        8        8
1.275020 35164835164.835167        8        8
1.281210 35164835164.835167        9        9
1.281530 35164835164.835167        9        9
1.281750 35164835164.835167        9        9
1.281870 35164835164.835167        9        9
1.296690 35164835164.835167        9        9
1.297180 35164835164.835167        9        9
1.298160 35164835164.835167        9        9
1.301400 35164835164.835167        9        9
1.301520 35164835164.835167       10       10
1.301870 35164835164.835167       10       10
1.303190 35164835164.835167       10       10
1.307280 35164835164.835167       10       10
1.313840 35164835164.835167       10       10
1.314060 35164835164.835167       10       10
1.318320 35164835164.835167       10       10
1.320800 35164835164.835167       11       11
1.321120 35164835164.835167       11       11
1.321280 35164835164.835167       11       11
1.321690 35164835164.835167       11       11
1.323480 35164835164.835167       11       11
1.323600 35164835164.835167       12       12
1.323960 35164835164.835167       13       13
1.324310 35164835164.835167       13       13
1.335520 35164835164.835167       13       13
1.342570 35164835164.835167       14       14
1.342880 35164835164.835167       14       14
1.343400 35164835164.835167       15       15
1.355880 35164835164.835167       16       16
1.358200 35164835164.835167       16       16
1.363810 35164835164.835167       17       17
1.364200 35164835164.835167       17       17
1.368600 35164835164.835167       17       17
1.368860 35164835164.835167       17       17
1.368980 35164835164.835167       18       18
1.369400 35164835164.835167       18       18
1.369800 35164835164.835167       18       18
1.377010 35164835164.835167       18       18
1.377220 35164835164.835167       18       18
1.377580 35164835164.835167       19       19
1.377960 35164835164.835167       19       19
1.379080 35164835164.835167       20       20
1.379490 35164835164.835167       20       20
1.379620 35164835164.835167       20       20
1.379950 35164835164.835167       21       21
1.380280 35164835164.835167       22       22
1.383300 35164835164.835167       22       22
1.386370 35164835164.835167       22       22
1.398290 35164835164.835167       23       23
1.398660 35164835164.835167       23       23
1.403690 35164835164.835167       23       23
1.403810 35164835164.835167       24       24
1.404210 35164835164.835167       25       25
1.404530 35164835164.835167       25       25
1.409660 35164835164.835167       26       26
1.409870 35164835164.835167       26       26
1.412300 35164835164.835167       26       26
1.413880 35164835164.835167       27       27
1.414110 35164835164.835167       27       27
1.414300 35164835164.835167       27       27
1.520390 35164835164.835167       27       27
1.520710 35164835164.835167       28       28
1.521240 35164835164.835167       29       29
1.521590 35164835164.835167       29       29
1.521710 35164835164.835167       30       30
1.522040 35164835164.835167       30       30
1.522440 35164835164.835167       30       30
1.523250 35164835164.835167       30       30
1.523650 35164835164.835167       30       30
1.535460 35164835164.835167       31       31
1.535890 35164835164.835167       31       31
1.539250 35164835164.835167       32       32
1.539570 35164835164.835167       32       32
1.539690 35164835164.835167       32       32
1.540160 35164835164.835167       33       33
1.540550 35164835164.835167       33       33
1.545210 35164835164.835167       33       33
1.549200 35164835164.835167       33       33
