       5 9147109.883333 9141821.641712 9152398.124955
      10 17957959.716667 17949434.738138 17966484.695195
      15 24812689.800000 24799752.147263 24825627.452737
      20 24739011.100000 24722502.187912 24755520.012088
      25 24845793.183333 24829233.825283 24862352.541384
      30 24806919.350000 24790434.910712 24823403.789288
      35 24734035.180000 24728461.146652 24739609.213348
      40 24725742.480000 24708847.913239 24742637.046761
      45 24897232.746667 24879411.644084 24915053.849249
      50 24904852.566667 24887752.487479 24921952.645854
