       0 0.000000        0        0
0.097646 30524642289.348175        0        0
0.122803 30524642289.348175        1        0
0.122989 30524642289.348175        1        0
0.123063 30524642289.348175        1        1
0.123493 30524642289.348175        2        2
0.123630 30524642289.348175        2        2
0.123726 30524642289.348175        3        3
0.123883 30524642289.348175        3        3
0.124002 30524642289.348175        4        4
0.124139 30524642289.348175        4        4
0.136785 30524642289.348175        4        4
